country_a,country_b,cosine
Afghanistan,Albania,0.9306962623953741
Afghanistan,Algeria,0.9059749126685027
Afghanistan,Andorra,0.9571718603967518
Afghanistan,Angola,0.9098978185153156
Afghanistan,Antigua and Barbuda,0.4742540893980741
Afghanistan,Argentina,0.9136949002286752
Afghanistan,Armenia,0.9355758584678607
Afghanistan,Australia,0.534855971796732
Afghanistan,Austria,0.9185840481547507
Afghanistan,Azerbaijan,0.9311085724999368
Afghanistan,Bahamas (The),0.6556722938993312
Afghanistan,Bahrain,0.9677022176248543
Afghanistan,Bangladesh,0.8698768508510519
Afghanistan,Barbados,0.7085216387712987
Afghanistan,Belarus,0.32224049113336817
Afghanistan,Belgium,0.5531041064265281
Afghanistan,Belize,0.5380051473564724
Afghanistan,Benin,0.8303762124309567
Afghanistan,Bhutan,0.8040915467226677
Afghanistan,Bolivia (Plurinational State of),0.8981428378348006
Afghanistan,Bosnia and Herzegovina,0.7625089702959715
Afghanistan,Botswana,0.9528769408577692
Afghanistan,Brazil,0.878803450611194
Afghanistan,Brunei Darussalam,0.9013115779493149
Afghanistan,Bulgaria,0.9295994343503982
Afghanistan,Burkina Faso,0.8943264426294358
Afghanistan,Burundi,0.9243153059599344
Afghanistan,Cambodia,0.9451899879374082
Afghanistan,Cameroon,0.9197025081672444
Afghanistan,Canada,0.720409019515337
Afghanistan,Cape Verde,0.9072461138810057
Afghanistan,Central African Republic,0.9207001705407571
Afghanistan,Chad,0.901349693011282
Afghanistan,Chile,0.7680346908920663
Afghanistan,China (Peopl,0.8922328853090788
Afghanistan,Colombia,0.7513183481614172
Afghanistan,Comoros,0.9091944464899735
Afghanistan,Congo (Democratic Republic of the),0.922374755991061
Afghanistan,Congo (Republic of the),0.916106691750432
Afghanistan,Costa Rica,0.9001692662869549
Afghanistan,Cote d'Ivoire,0.634603677316109
Afghanistan,Croatia,0.8777427311796733
Afghanistan,Cuba,0.9051035887765144
Afghanistan,Cyprus,0.6563921027593294
Afghanistan,Czech Republic,0.9355904156855949
Afghanistan,Denmark,0.9181161624963304
Afghanistan,Djibouti,0.8977185331598916
Afghanistan,Dominica,0.4446573615620678
Afghanistan,Dominican Republic,0.8974053567589932
Afghanistan,Ecuador,0.8921845456234905
Afghanistan,Egypt,0.2549917522676084
Afghanistan,El Salvador,0.8499143711860523
Afghanistan,Equatorial Guinea,0.9537896773524025
Afghanistan,Eritrea,0.8806151092497241
Afghanistan,Estonia,0.9201784530362014
Afghanistan,Eswatini,0.5478983645870978
Afghanistan,Ethiopia,0.21825088963100336
Afghanistan,Fiji,0.9361902281891268
Afghanistan,Finland,0.931171199674669
Afghanistan,France,0.4888267566933461
Afghanistan,Gabon,0.9387919567153121
Afghanistan,Gambia (The),0.9240140493474405
Afghanistan,Georgia,0.9033241410190553
Afghanistan,Germany,0.8936887021251402
Afghanistan,Ghana,0.7846677812835732
Afghanistan,Greece,0.920480092330053
Afghanistan,Grenada,0.47000195431639025
Afghanistan,Guatemala,0.8923141175162194
Afghanistan,Guine,0.9458478223072009
Afghanistan,Guyana,0.9397117387470081
Afghanistan,Haiti,0.9321039319507678
Afghanistan,Honduras,0.8996622481610718
Afghanistan,Hungary,0.9110367230891385
Afghanistan,Iceland,0.9152037472583818
Afghanistan,India,0.6168027434711705
Afghanistan,Indonesia,0.8652511365467789
Afghanistan,Iran (Islamic Republic of),0.9324024300384635
Afghanistan,Iraq,0.8919038952259765
Afghanistan,Ireland,0.5524393257731053
Afghanistan,Israel,0.7943941040029985
Afghanistan,Italy,0.6684599262435662
Afghanistan,Jamaica,0.5871657553011812
Afghanistan,Japan,0.24391772938927636
Afghanistan,Jordan,0.28213302579138544
Afghanistan,Kazakhstan,0.9420058645427078
Afghanistan,Kenya,0.7172283940473789
Afghanistan,Kiribati,0.963275547577359
Afghanistan,Korea (Democratic Peopl,0.8856719214160647
Afghanistan,Korea (Republic of),0.9181952733920629
Afghanistan,Kosovo,0.933950159632714
Afghanistan,Kuwait,0.9134180550196132
Afghanistan,Kyrgyzstan,0.9386624421645873
Afghanistan,Lao Peopl,0.9059477991186538
Afghanistan,Latvia,0.9447021242801875
Afghanistan,Lebanon,0.9773646147731143
Afghanistan,Lesotho,0.7523219571439042
Afghanistan,Liberia,0.6130279817496143
Afghanistan,Libya,0.9054591959994889
Afghanistan,Liechtenstein,0.8300586742246296
Afghanistan,Lithuania,0.8943294407714665
Afghanistan,Luxembourg,0.965754082709733
Afghanistan,Madagascar,0.923992646364271
Afghanistan,Malawi,0.9380540225270505
Afghanistan,Malaysia,0.6833589637474167
Afghanistan,Maldives,0.9070712309595053
Afghanistan,Malta,0.5049184277352616
Afghanistan,Marshall Islands,0.9580299700422158
Afghanistan,Mauritania,0.9249663698717228
Afghanistan,Mauritius,0.9617802594773283
Afghanistan,Mexico,0.6752698837576911
Afghanistan,Micronesia (Federated States of),0.9311583473546238
Afghanistan,Moldova (Republic of),0.9078188317165401
Afghanistan,Monaco,0.872878776206264
Afghanistan,Mongolia,0.9261591818688781
Afghanistan,Montenegro,0.8933504814675235
Afghanistan,Morocco,0.9574653814552443
Afghanistan,Mozambique,0.891854034029761
Afghanistan,Myanmar,0.9786877192105433
Afghanistan,Namibia,0.928134646600595
Afghanistan,Nauru,0.908927114095648
Afghanistan,Nepal,0.6389660388794778
Afghanistan,Netherlands,0.48109841798579933
Afghanistan,New Zealand,0.8264839906275713
Afghanistan,Nicaragua,0.8888802473311951
Afghanistan,Niger,0.8848135595434077
Afghanistan,Nigeria,0.3695015428871279
Afghanistan,North Macedonia (Republic of),0.9016977456463162
Afghanistan,Norway,0.9311810051709589
Afghanistan,Oman,0.8749612652567388
Afghanistan,Pakistan,0.7733286634779963
Afghanistan,Palau,0.4590659663948511
Afghanistan,Palestine,0.8909733068044354
Afghanistan,Panama,0.9202326238337466
Afghanistan,Papua New Guinea,0.9145650805334693
Afghanistan,Paraguay,0.9116710616137937
Afghanistan,Peru,0.8976881445103865
Afghanistan,Philippines,0.6020855315524705
Afghanistan,Poland,0.9176359222908113
Afghanistan,Portugal,0.9521034591286199
Afghanistan,Qatar,0.9306449170059321
Afghanistan,Romania,0.9348046661965136
Afghanistan,Russian Federation,0.9613815391915181
Afghanistan,Rwanda,0.9697969340554036
Afghanistan,Saint Kitts and Nevis,0.9835489221403129
Afghanistan,Saint Lucia,0.5809106100723067
Afghanistan,Saint Vincent and the Grenadines,0.548854957815522
Afghanistan,Samoa,0.9045124502904671
Afghanistan,Sao Tome and Principe,0.9095393093731988
Afghanistan,Saudi Arabia,0.8608215090359175
Afghanistan,Senegal,0.9391355107596572
Afghanistan,Serbia,0.9123808410085115
Afghanistan,Seychelles,0.8850223954016176
Afghanistan,Sierra Leone,0.9295074558846765
Afghanistan,Singapore,0.897730124935298
Afghanistan,Slovakia,0.9302730852157118
Afghanistan,Slovenia,0.9082303509739189
Afghanistan,Solomon Islands,0.9802202082991119
Afghanistan,Somalia,0.16250624352620957
Afghanistan,South Africa,0.9339172287587834
Afghanistan,South Sudan,0.5568805287129
Afghanistan,Spain,0.7951925231152137
Afghanistan,Sri Lanka,0.9286235153015614
Afghanistan,Sudan,0.9216812118742025
Afghanistan,Suriname,0.9036244550864948
Afghanistan,Sweden,0.9382837150303761
Afghanistan,Switzerland,0.9301301221860574
Afghanistan,Syrian Arab Republic,0.8864380247552537
Afghanistan,Taiwan (Republic of China),0.8605580630924848
Afghanistan,Tajikistan,0.9074922895235253
Afghanistan,Tanzania (United Republic of),0.7141776821256811
Afghanistan,Thailand,0.37692536817416356
Afghanistan,Timo,0.8659628527091252
Afghanistan,Togo,0.9257562113989998
Afghanistan,Tonga,0.8177912785773911
Afghanistan,Trinidad and Tobago,0.39099369463624467
Afghanistan,Tunisia,0.8895096425832855
Afghanistan,Turkey,0.8996467350176066
Afghanistan,Turkmenistan,0.9185034436234895
Afghanistan,Tuvalu,0.9595411430226138
Afghanistan,Uganda,0.8691979884183836
Afghanistan,Ukraine,0.9126793975680964
Afghanistan,United Arab Emirates,0.8415647973636058
Afghanistan,United Kingdom,0.7781405420376467
Afghanistan,United States of America,0.5809106850764656
Afghanistan,Uruguay,0.9348936329082553
Afghanistan,Uzbekistan,0.9648856615157428
