term_str,max_pos,dfidf
separation,NN,102.43240416120129
enabling,VBG,102.43240416120129
sub,NN,102.43240416120129
holder,NN,102.43240416120129
schedule,NN,102.43240416120129
mind,NN,102.43240416120129
prison,NN,102.43240416120129
designate,NN,102.43240416120129
fees,NNS,102.43240416120129
reading,NN,102.43240416120129
arises,NNS,102.43240416120129
recognition,NN,102.43240416120129
closed,VBD,102.43240416120129
consecutive,JJ,102.43240416120129
occasion,NN,102.43240416120129
alter,NN,102.43240416120129
maintained,VBN,102.43240416120129
passing,NN,102.43240416120129
lost,VBN,102.43240416120129
beliefs,NNS,102.43240416120129
true,JJ,102.43240416120129
intervene,NN,102.43240416120129
fulfill,NN,102.43240416120129
conclusion,NN,102.43240416120129
remains,NNS,102.43240416120129
class,NN,102.43240416120129
designation,NN,102.43240416120129
threat,NN,102.4223065794553
goods,NNS,102.4223065794553
titles,NNS,102.4223065794553
none,NN,102.4223065794553
autonomy,NN,102.4223065794553
summoned,VBN,102.4223065794553
conservation,NN,102.4223065794553
june,NN,102.4223065794553
nothing,NN,102.4223065794553
reached,VBN,102.4223065794553
omission,NN,102.4223065794553
magistrate,NN,102.4223065794553
lower,JJR,102.4223065794553
incurred,VBN,102.4223065794553
code,NN,102.4223065794553
stability,NN,102.4223065794553
privilege,NN,102.4223065794553
advisory,NN,102.4223065794553
withdrawn,NN,102.4223065794553
effectively,RB,102.4223065794553
school,NN,102.4223065794553
holders,NNS,102.4223065794553
real,JJ,102.4223065794553
authorize,VB,102.4223065794553
allocated,VBN,102.42218142261798
possess,NN,102.42218142261798
representing,VBG,102.42218142261798
dealing,VBG,102.42218142261798
lawfully,RB,102.42218142261798
relates,NNS,102.42218142261798
move,NN,102.42218142261798
assumed,VBN,102.42218142261798
solely,RB,102.42218142261798
speech,NN,102.42218142261798
regime,NN,102.42218142261798
ambassadors,NNS,102.42218142261798
auditor,NN,102.42218142261798
unit,NN,102.42218142261798
worship,NN,102.42218142261798
close,RB,102.42218142261798
context,NN,102.42218142261798
continues,VBZ,102.42218142261798
newly,RB,102.42218142261798
anyone,NN,102.42218142261798
attendance,NN,102.42218142261798
abolished,VBN,102.42218142261798
treated,VBN,102.42218142261798
budgets,NNS,102.3921709223286
region,NN,102.3921709223286
expiry,NN,102.3921709223286
objective,NN,102.3921709223286
secretaries,NNS,102.3921709223286
notification,NN,102.3921709223286
delivered,VBN,102.3921709223286
petitions,NNS,102.3921709223286
collection,NN,102.3921709223286
chamber,NN,102.3921709223286
historical,JJ,102.3921709223286
thereon,NN,102.3921709223286
always,RB,102.3921709223286
artistic,JJ,102.3921709223286
initiate,NN,102.3921709223286
sentences,NNS,102.3921709223286
inhuman,NN,102.3921709223286
share,NN,102.3921709223286
withdrawal,NN,102.3921709223286
balanced,VBN,102.3921709223286
privacy,NN,102.3921709223286
declaring,VBG,102.3921709223286
modification,NN,102.39134805380388
alone,RB,102.39134805380388
refuse,NN,102.39134805380388
red,JJ,102.39134805380388
prosecutor,NN,102.39134805380388
september,NN,102.39134805380388
rank,NN,102.39134805380388
presidency,NN,102.39134805380388
altered,VBN,102.39134805380388
hand,NN,102.39134805380388
dispose,NN,102.39134805380388
reduce,VB,102.39134805380388
alteration,NN,102.39134805380388
raising,VBG,102.39134805380388
copy,NN,102.39134805380388
opening,NN,102.39134805380388
interim,NN,102.39134805380388
nominate,NN,102.39134805380388
attention,NN,102.39134805380388
undertaken,JJ,102.39134805380388
intervention,NN,102.39134805380388
municipalities,NNS,102.39134805380388
immediate,NN,102.39134805380388
intellectual,JJ,102.39134805380388
release,NN,102.39134805380388
claim,NN,102.39134805380388
violate,NN,102.39134805380388
served,VBD,102.39134805380388
systems,NNS,102.39134805380388
greater,JJR,102.39134805380388
mutual,JJ,102.34227170129566
efficient,NN,102.34227170129566
allegiance,NN,102.34227170129566
environmental,JJ,102.34227170129566
involve,NN,102.34227170129566
contain,NN,102.34227170129566
july,NN,102.34227170129566
live,JJ,102.34227170129566
e,NN,102.34227170129566
march,NN,102.34227170129566
filled,VBN,102.34227170129566
terminated,VBN,102.34227170129566
revoke,NN,102.34227170129566
ordered,VBN,102.34227170129566
supplementary,JJ,102.34227170129566
