term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
conclusion,0.004567253962959464,0.0011228703675414799,-0.0016858871582747725,-0.0010964056727071738,0.004320155759206576,0.0056086171101397695,-0.005055629401380421,-0.005909098532923446,0.0032878188548171082,-0.0012558762400717786
prison,0.0023284412134767507,-0.0033508933277896363,-0.0004926269773466163,-0.004266109747304042,0.0046375970021514945,0.009979882222586806,0.0003412926574190567,0.01085110445394133,-0.006797786867958913,0.0004933541066472827
occasion,0.0016499183414948604,0.008458006626438141,-0.004968917566003234,-0.013639764999550545,-0.006108931272817985,-0.0028842636157858214,0.00023988900321274308,0.0006416449886775671,-0.0024577112217024164,-0.0011620618852267103
passing,-0.0010916677025138433,0.0037768211604681245,0.0014230689610953695,0.0010665535247554037,0.006304138004506021,0.005376478101170978,0.0009254818369699991,0.0006219489403457845,0.0035777680233583797,-0.0004122719075497841
mind,-0.016512427256992396,0.0036904547686580913,-0.005159877313014927,-0.01090578453075386,-0.0026163091356674884,0.0019538720923922906,-0.001976705694611537,0.0005587270402411249,-0.0012955395039505394,0.00047911841959761073
designation,0.010074974110829783,0.006715480628194714,-0.004910780811947402,-0.008198135871266138,-0.008426499500018725,-0.004347006598004743,0.004710512787622301,0.011139623610717075,-0.008307347814673141,-0.006067003448466286
sub,-0.008747468421051934,0.0011676506137993092,-0.0029809895608227666,0.010502302812251202,0.017887004887264024,-0.01985436092557416,0.022510472668232258,-0.01142400796874593,0.01001857055225537,-0.029145469093795173
holder,-0.03157799147765974,0.009480995751335375,-0.01023544241625543,-0.027098119015998345,-0.0055450892994481915,0.007818153153591384,-0.004352505485094638,0.005595923432744815,-0.001281365924998501,-0.0017144324878999792
class,-0.00798221283018908,0.000507316018822257,0.0014601978933137527,-0.006300939143891016,0.0010877304855658743,0.004918009713851784,0.00531744765232315,-0.0034146000864781756,-0.0032877417033009837,0.004267503654425325
schedule,-0.03589066537361815,-0.00282272566213454,-0.01308394252771966,-0.01746882796374871,-0.01649634683329737,0.023932899417788728,0.04807242178208923,-0.02138386045349097,-0.0059837527577307065,-0.009665631720345357
remains,0.01170518194143058,0.009876158630478027,-0.005694964660993507,-0.00761482297713062,-0.006068131805597163,-0.0038010628548793557,0.005239920188546909,0.00131710381730471,-0.0030034047409990827,-0.0038610716062289496
fulfill,0.01746745391290067,0.0007783877747847279,-0.002609948085646685,-0.006102068976003849,0.0008759718930387295,0.00481445725303703,0.003506131506027438,0.01607803388308092,-0.010960198093945637,-4.291427744038123e-06
