term_str,n,p,stop,n_pos,max_pos,max_pos_group,dfidf
conclusion,132,3.444929025327797e-05,0,1,NN,NN,102.43240416120129
prison,175,4.567140753275488e-05,0,1,NN,NN,102.43240416120129
occasion,222,5.7937442698694764e-05,0,1,NN,NN,102.43240416120129
passing,219,5.715450428384754e-05,0,1,NN,NN,102.43240416120129
mind,359,9.369163031005145e-05,0,1,NN,NN,102.43240416120129
designation,201,5.245687379476418e-05,0,1,NN,NN,102.43240416120129
sub,810,0.00021139337200875116,0,1,NN,NN,102.43240416120129
holder,727,0.00018973207586464456,0,1,NN,NN,102.43240416120129
class,286,7.464012888210226e-05,0,1,NN,NN,102.43240416120129
schedule,1399,0.0003651102807904233,0,1,NN,NN,102.43240416120129
remains,158,4.123475651528726e-05,0,1,NNS,NN,102.43240416120129
fulfill,193,5.036903802183824e-05,0,1,NN,NN,102.43240416120129
reading,189,4.932512013537527e-05,0,1,NN,NN,102.43240416120129
arises,271,7.072543680786613e-05,0,1,NNS,NN,102.43240416120129
fees,310,8.090363620088007e-05,0,1,NNS,NN,102.43240416120129
designate,211,5.50666685109216e-05,0,1,NN,NN,102.43240416120129
intervene,159,4.149573598690301e-05,0,1,NN,NN,102.43240416120129
beliefs,136,3.549320813974094e-05,0,1,NNS,NN,102.43240416120129
recognition,144,3.7581043912666877e-05,0,1,NN,NN,102.43240416120129
separation,122,3.1839495537120545e-05,0,1,NN,NN,102.43240416120129
alter,186,4.854218172052805e-05,0,1,NN,NN,102.43240416120129
conservation,187,4.880316119214379e-05,0,1,NN,NN,102.4223065794553
autonomy,372,9.70843634410561e-05,0,1,NN,NN,102.4223065794553
code,366,9.551848661136164e-05,0,1,NN,NN,102.4223065794553
none,111,2.8968721349347382e-05,0,1,NN,NN,102.4223065794553
advisory,291,7.594502624018097e-05,0,1,NN,NN,102.4223065794553
goods,437,0.00011404802909607934,0,1,NNS,NN,102.4223065794553
school,237,6.18521347729309e-05,0,1,NN,NN,102.4223065794553
nothing,801,0.0002090445567642095,0,1,NN,NN,102.4223065794553
threat,136,3.549320813974094e-05,0,1,NN,NN,102.4223065794553
privilege,138,3.6015167082972424e-05,0,1,NN,NN,102.4223065794553
stability,161,4.201769493013449e-05,0,1,NN,NN,102.4223065794553
withdrawn,218,5.68935248122318e-05,0,1,NN,NN,102.4223065794553
titles,160,4.175671545851875e-05,0,1,NNS,NN,102.4223065794553
