country_name,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
Afghanistan,9.048136083987366e-06,9.048136083984627e-06,9.048136083972496e-06,0.048278037812721254,9.048136083984375e-06,9.048136083986433e-06,9.048136083987505e-06,9.04813608398524e-06,9.048136083984229e-06,9.04813608398091e-06,9.048136083981972e-06,0.698963568966764,9.04813608398722e-06,9.048136083983814e-06,9.048136083983663e-06,0.09840862487710993,9.048136083985711e-06,9.048136083983409e-06,0.008186038733651042,9.048136083972496e-06,0.004664861360742205,9.04813608398531e-06,9.04813608398343e-06,9.048136083983182e-06,9.048136083984827e-06,0.020785044824880188,9.048136083985715e-06,0.020767701733730777,9.048136083982779e-06,0.09974706269655294
Albania,5.312931675709826e-06,5.312931675710121e-06,5.312931675702861e-06,0.6071795286455381,5.312931675710313e-06,5.312931675710886e-06,5.312931675711747e-06,5.312931675709386e-06,5.3129316757111665e-06,5.31293167570943e-06,5.312931675710478e-06,5.312931675710781e-06,0.05108036252850493,5.3129316757109785e-06,5.31293167571066e-06,5.31293167571155e-06,5.312931675710298e-06,5.312931675710883e-06,0.012934812312143133,5.312931675702861e-06,5.312931675709856e-06,0.021546820113870456,0.017853272613840666,5.312931675708621e-06,5.312931675711219e-06,5.312931675710312e-06,0.1957959225310132,5.312931675711249e-06,0.01616962723740565,0.07732276952081797
Algeria,5.6411124273830405e-06,5.641112427382029e-06,5.641112427375009e-06,0.2056139203032849,5.641112427381697e-06,5.641112427382722e-06,5.6411124273830016e-06,5.641112427381625e-06,5.641112427382431e-06,5.641112427378646e-06,5.641112427381865e-06,0.16414555094133737,0.5850861681045907,5.641112427382147e-06,5.641112427381093e-06,5.641112427382939e-06,5.6411124273834725e-06,5.641112427382495e-06,0.008543794381903693,5.641112427375009e-06,5.6411124273838e-06,5.6411124273828965e-06,5.641112427382801e-06,5.641112427380853e-06,5.6411124273831015e-06,5.6411124273818886e-06,5.641112427384033e-06,5.641112427383597e-06,5.6411124273826424e-06,0.03646953845819853
Andorra,1.5678896205743153e-05,1.5678896205742974e-05,1.5678896205721022e-05,0.19506960063911843,1.567889620574542e-05,1.56788962057446e-05,1.567889620574544e-05,1.5678896205740775e-05,0.020344921612369143,1.5678896205733104e-05,1.5678896205744295e-05,1.567889620574662e-05,0.22722887258597088,1.5678896205748032e-05,1.5678896205739165e-05,1.5678896205741707e-05,1.5678896205746657e-05,1.567889620574303e-05,0.2924141329884554,1.5678896205721022e-05,1.5678896205742618e-05,1.567889620574863e-05,1.5678896205746626e-05,1.5678896205738176e-05,1.567889620574602e-05,1.56788962057389e-05,0.2568096551575466,1.5678896205744654e-05,1.5678896205748686e-05,0.00775652350760205
Angola,4.8003072196729665e-06,4.8003072196724625e-06,4.800307219665963e-06,0.44581731812018394,4.8003072196728724e-06,4.800307219672573e-06,4.800307219673043e-06,4.800307219672405e-06,4.800307219674125e-06,4.800307219669872e-06,4.800307219675207e-06,0.06461470445805748,0.022104380712164397,4.800307219672828e-06,4.800307219672696e-06,4.800307219672473e-06,4.800307219672747e-06,4.800307219673092e-06,0.0004979687383251338,4.800307219665963e-06,4.80030721967248e-06,4.80030721967322e-06,4.800307219673091e-06,4.80030721967065e-06,4.8003072196728445e-06,4.800307219671486e-06,0.46684562029077703,4.800307219673581e-06,4.800307219672607e-06,4.80030721967349e-06
Antigua and Barbuda,2.6775912389274098e-06,2.6775912389277926e-06,2.6775912389239077e-06,2.6775912389283165e-06,0.9225680818436747,2.6775912389282598e-06,2.6775912389273615e-06,2.6775912389271387e-06,2.6775912389274496e-06,2.6775912389265517e-06,2.677591238930338e-06,2.6775912389283093e-06,2.6775912389286045e-06,0.07086344650735427,2.677591238927148e-06,2.6775912389280264e-06,2.6775912389280684e-06,2.6775912389278384e-06,2.6775912389293376e-06,2.6775912389239077e-06,2.6775912389278303e-06,0.0064961766855203456,2.6775912389279273e-06,2.677591238930096e-06,2.677591238928604e-06,2.6775912389271226e-06,2.677591238928373e-06,2.677591238927765e-06,2.6775912389278007e-06,2.677591238928617e-06
Argentina,8.628872206421705e-06,8.62887220642348e-06,8.628872206410792e-06,8.628872206423772e-06,8.62887220642496e-06,0.01396959001369366,8.628872206423652e-06,8.628872206421953e-06,0.050437819159197025,8.628872206417318e-06,8.628872206421367e-06,0.14556056177677246,0.19865466321825634,8.628872206423748e-06,8.628872206421661e-06,8.628872206423486e-06,8.628872206425363e-06,8.628872206421826e-06,0.3675496801637802,8.628872206410792e-06,8.628872206422385e-06,8.628872206426317e-06,8.62887220642308e-06,8.628872206421048e-06,8.62887220642444e-06,8.628872206420755e-06,0.16943465862544782,0.05419456298210479,8.628872206423074e-06,8.628872206423542e-06
Armenia,5.974786401398826e-06,5.974786401398646e-06,5.974786401390127e-06,0.9739842840789541,5.974786401398822e-06,5.974786401398152e-06,0.02235133613619977,5.974786401397542e-06,5.974786401399168e-06,5.974786401395138e-06,5.974786401403034e-06,5.97478640139859e-06,5.9747864013997115e-06,5.974786401399198e-06,5.9747864013963446e-06,5.97478640139836e-06,5.974786401398925e-06,5.9747864013975025e-06,0.002916069127329258,5.974786401390127e-06,5.9747864013975795e-06,5.974786401399722e-06,5.97478640139895e-06,5.974786401396754e-06,0.0005929662110802946,5.974786401396729e-06,5.9747864013995235e-06,5.974786401398978e-06,5.974786401398433e-06,5.974786401398841e-06
Australia,6.223549912884783e-06,6.2235499128835574e-06,6.22354991287561e-06,6.223549912884599e-06,0.023024040733177435,6.223549912884365e-06,6.223549912882165e-06,6.223549912885421e-06,6.223549912885037e-06,0.015476595865143912,6.223549912883878e-06,6.223549912884394e-06,6.223549912885651e-06,6.22354991288548e-06,6.2235499128836176e-06,0.4233374372941386,0.009958870374303146,0.1440403402054394,0.02501865758878336,6.22354991287561e-06,6.223549912885165e-06,6.2235499128840665e-06,6.2235499128853675e-06,6.223549912885573e-06,6.2235499128825766e-06,6.223549912886572e-06,6.223549912883405e-06,0.34976406497656626,0.009243074864364452,6.2235499128836404e-06
Austria,2.358212474948947e-06,2.3582124749488076e-06,2.3582124749454614e-06,2.3582124749493557e-06,2.3582124749488597e-06,2.358212474948748e-06,2.3582124749492083e-06,2.358212474948259e-06,0.0010168520144862392,2.3582124749471466e-06,2.3582124749488496e-06,2.3582124749493925e-06,0.009593196959442898,2.358212474948931e-06,2.358212474948862e-06,2.358212474949191e-06,2.358212474948797e-06,2.3582124749487314e-06,2.3582124749493243e-06,2.3582124749454614e-06,2.3582124749484515e-06,2.3582124749491075e-06,2.358212474948606e-06,2.358212474948299e-06,0.9770932202902147,2.358212474948679e-06,0.008710476844270341,2.3582124749490685e-06,2.3582124749488127e-06,0.0035272985797120686
