topic_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
T00,éireann,law,president,state,constitution,article,court,office,members,government,member,section,council,provision,house,subject,exercise,chairman,powers,time,"T00 éireann, law, president, state, constitution, article, court, office, members, government, member, section, council, provision, house, subject, exercise, chairman, powers, time"
T01,republic,ukraine,state,law,azerbaijan,republic azerbaijan,president,constitution,court,right,seimas,rada,verkhovna,verkhovna rada,procedure,laws,lithuania,rada ukraine,president republic,citizens,"T01 republic, ukraine, state, law, azerbaijan, republic azerbaijan, president, constitution, court, right, seimas, rada, verkhovna, verkhovna rada, procedure, laws, lithuania, rada ukraine, president republic, citizens"
T02,abide,portion,points,poland,police,police force,police service,policies,policy,policy state,poll,polling,polling day,polling place,population,position,power person,positions,possess,possesses,"T02 abide, portion, points, poland, police, police force, police service, policies, policy, policy state, poll, polling, polling day, polling place, population, position, power person, positions, possess, possesses"
T03,law,republic,state,president,government,right,constitution,court,president republic,members,public,rights,parliament,council,office,citizens,bodies,laws,article,minister,"T03 law, republic, state, president, government, right, constitution, court, president republic, members, public, rights, parliament, council, office, citizens, bodies, laws, article, minister"
T04,person,office,section,house,court,public,constitution,law,governor,member,minister,provisions,subsection,functions,time,case,commission,prime,authority,prime minister,"T04 person, office, section, house, court, public, constitution, law, governor, member, minister, provisions, subsection, functions, time, case, commission, prime, authority, prime minister"
T05,person,clause,law,government,constitution,president,court,member,office,election,members,pursuant,minister,speaker,nitijela,act,cabinet,chief,council,public,"T05 person, clause, law, government, constitution, president, court, member, office, election, members, pursuant, minister, speaker, nitijela, act, cabinet, chief, council, public"
T06,republic,president,article,court,paragraph,law,constitution,communal,representatives,vice,turkish,president republic,house,vice president,public,person,decision,provisions,house representatives,president vice,"T06 republic, president, article, court, paragraph, law, constitution, communal, representatives, vice, turkish, president republic, house, vice president, public, person, decision, provisions, house representatives, president vice"
T07,state,yang,di,yang di,law,di pertuan,pertuan,article,council,clause,federation,member,person,majesty,sultan,sultan yang,majesty sultan,constitution,members,government,"T07 state, yang, di, yang di, law, di pertuan, pertuan, article, council, clause, federation, member, person, majesty, sultan, sultan yang, majesty sultan, constitution, members, government"
T08,law,public,tribunal,state,art,constitution,states,union,article,district,provisions,services,power,executive,president,counties,chamber,respective,republic,years,"T08 law, public, tribunal, state, art, constitution, states, union, article, district, provisions, services, power, executive, president, counties, chamber, respective, republic, years"
T09,king,realm,queen,statute,court,consent,members,member,year,throne,rules,prime minister,prime,laid,minister,royal,act,election,seats,person,"T09 king, realm, queen, statute, court, consent, members, member, year, throne, rules, prime minister, prime, laid, minister, royal, act, election, seats, person"
