term_str,n,p,stop,n_pos,max_pos,max_pos_group,dfidf
0,43,1.1222117279476914e-05,0,1,CD,CD,50.59622514865085
00,16,4.175671545851875e-06,0,1,CD,CD,36.739656298144645
000,258,6.733270367686148e-05,0,1,CD,CD,95.16917373570911
0003,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
000ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
001,5,1.304897358078711e-06,0,1,CD,CD,13.184914074536161
002,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
003,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
004,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
005,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
006ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
01,12,3.1317536593889062e-06,0,1,CD,CD,30.044967219281546
010,3,7.829384148472266e-07,0,1,CD,CD,13.184914074536161
01000,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
01012009,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
01012015,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
01042017,19,4.958609960699101e-06,0,1,CD,CD,7.592457037268081
01072010,2,5.219589432314843e-07,0,1,CD,CD,7.592457037268081
01102002,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
01112007,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
02,5,1.304897358078711e-06,0,1,CD,CD,18.022483609640773
020,3,7.829384148472266e-07,0,1,CD,CD,7.592457037268081
02082001,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
022ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
03,6,1.5658768296944531e-06,0,1,CD,CD,18.022483609640773
032ft,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
0383561,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
04,8,2.0878357729259374e-06,0,1,CD,CD,26.35264471190359
040,1,2.6097947161574217e-07,0,1,CD,CD,7.592457037268081
